Have you joined the NCWIT Aspirations in Computing Facebook group?,"In order to improve our program, please tell us why you have not joined the Facebook Group.",CODE
No,I didn't know there was one and I didn't get invited to one.,didn't know about group
No,I have not had time to yet. I have been busy with school and finals.,no interest
No,I don't use facebook ,don’t have fb
No,I was not aware of the Facebook group,didn't know about group
Yes,,
No,,
Yes,,
No,I do not have a Facebook account.,don’t have fb
No,I have not received an invitation. ,didn't know about group
Yes,,
No,I don't have facebook,don’t have fb
No,I don't have Facebook.,don’t have fb
No,,
No,"I never received an invite to join the group and I was not sure who to contact about this. (But I know now, due to the information below).",didn't know about group
No,I have yet to create a Facebook for this purpose,don’t have fb
No,It has not been on my mind.,no interest
No,Didn't receive invite. ,didn't know about group
Yes,,
Yes,,
No,I actually forgot! I will join as soon as I get off this survey though :),other
No,I do not have Facebook.,don’t have fb
,,
No,I simply haven't taken the time to do so.,no interest
No,I didn't get the email. I'll reach out to the provided email now!,didn't know about group
No,"I didn't know there was one. Along with this, I don't use Facebook very much. ",didn't know about group
No,I do not have a Facebook.,don’t have fb
Yes,,
No,I don’t like Facebook ,don’t have fb
Yes,,
No,I do not have a Facebook account.,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,,
Yes,,
Yes,,
No,I forgot to join the group and when I opened the email the invite expired.,problems
No,My personal email for Facebook invitations is:    sophieyang111@gmail.com,didn't know about group
Yes,,
No,"I don’t use Facebook and I don’t plan on starting anytime soon. If it were literally any other social media platform, I would’ve joined. ",don’t have fb
Yes,,
Yes,,
Yes,,
No,I don’t have Facebook ,don’t have fb
No,I was not given the email. ,didn't know about group
No,I don’t have Facebook,don’t have fb
No,I'm not active on Facebook,not active on fb
No,I don't have a Facebook account.,don’t have fb
Yes,,
No,I did not see the email! ,didn't know about group
,,
No,I do not have a facebook account.,don’t have fb
Yes,,
No,I was not aware there was a Facebook group ,didn’t know about group
Yes,,
No,I don't have a Facebook,don’t have fb
,,
No,I don’t have a Facebook account.,don’t have fb
Yes,,
No,I did not know of this Facebook group  ,didn't know about group
Yes,,
No,I have not been invited yet. ,didn't know about group
No,,
No,I do not use Facebook.,don’t have fb
No,I don’t have a Facebook account yet,don’t have fb
Yes,,
No,I don’t like to engage in social media. ,don’t have fb
Yes,,
Yes,,
,I wasn’t allowed to join through my family page. I do not have one of my own. ,don’t have fb
Yes,,
,,
No,I don’t have Facebook ,don’t have fb
,,
No,I do not have any social media,don’t have fb
No,I have not had the time. ,no interest
Yes,,
No,I did not get a notification or email to be invited.,didn't know about group
No,I don't have a facebook account.,don’t have fb
No,I don't have a facebook and won't create one because i don't believe in supporting that company.,don’t have fb
No,Do not own a Facebook account.,don’t have fb
No,I don't use Facebook.,don’t have fb
Yes,,
No,Didn't know there was one,didn't know about group
No,I do not own a Facebook account. ,don’t have fb
No,I couldn't due to unavailability ,problems
Yes,,
No,I don’t use Facebook that much,not active on fb
No,,
Yes,,
Yes,,
No,I don't use Facebook,don’t have fb
Yes,,
No,I don't have facebook,don’t have fb
No,I don't have a Facebook account. ,don’t have fb
No,Because I don’t have Facebook ,don’t have fb
Yes,,
Yes,,
Yes,,
No,,
No,I haven’t gotten around to it,no interest
No,I don’t have a Facebook. I don’t use any social media,don’t have fb
No,,
No,"I don’t have a Facebook account. However, I do have a Snapchat and Instagram account.",don’t have fb
Yes,,
No,I did not receive an email explaining how to join the group.,didn't know about group
No,I’m not on Facebook ,don’t have fb
Yes,,
Yes,,
No,I do not use Facebook,don’t have fb
Yes,,
No,Didn’t know about it,didn't know about group
No,I was not invited to the Facebook group/never received an email to join.,didn't know about group
Yes,,
Yes,,
Yes,,
Yes,,
No,I do not have Facebook. ,don’t have fb
Yes,,
No,Don't have Facebook ,don’t have fb
,,
No,I rarely use Facebook and am inactive.,not active on fb
Yes,,
No,Didn’t know about it,didn’t know about group
No,I haven’t received the email. ,didn’t know about group
,,
Yes,,
No,I did not receive an email explaining how to join the group.,didn't know about group
No,"I would, except I don't have a Facebook account.",don’t have fb
Yes,,
No,Did not know of existence. ,didn't know about group
No,I forgot that there was one.,didn't know about group
No,I don't use Facebook ,don’t have fb
No,I do not have a facebook account and I am not allowed to create one.,don’t have fb
Yes,,
No,I don’t use Facebook.,don’t have fb
No,My invitation ran out when I tried to join. ,problems
Yes,,
No,I just haven't,no interest
No,The link did not work when it was sent to me.,problems
No,I don't have a facebook account.,don’t have fb
No,,
No,I was not aware that there was a facebook group. ,didn't know about group
Yes,,
,,
No,"One way I would improve the program is by expanding technology into more diverse interests. I enjoy art, so from rigging and animation coding to digital art programs. Just taking those in for consideration as well.",other
Yes,,
No,The link sent to me did not work. It only lead me to a page that said I did not have access to.,problems
No,I do not have a Facebook.,don’t have fb
No,I do not have Facebook ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,I do not have a facebook account. ,don’t have fb
Yes,,
No,I was unaware there was a facebook group.,didn't know about group
No,Was not aware of opportunity,didn't know about group
No,I do not have a facebook account.,don’t have fb
No,I am not happy with the organization aspect of NCWIT. ,problems
No,i do not have facebook,don’t have fb
No,I did not receive any information regarding how to join the Facebook Group.,didn't know about group
No,do not use,don’t have fb
No,I do not have Facebook ,don’t have fb
Yes,,
No,I am not on Facebook,don’t have fb
Yes,,
Yes,,
No,I believe there is nothing that could improve this program. I think the program is perfect the way it is.,other
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,My email is different from the one I used to apply,problems
Yes,,
No,I cannot find the email that gave the instructions on how to join.,didn't know about group
No,I was not told how to join the facebook group and facebook its outdated.,don’t have fb
No,Currently I do not have a Facebook account. ,don’t have fb
No,don't have facebook  ,don’t have fb
No,"I greatly want to, but I need to create a Facebook profile first. Once I do, I will be sure to join. ",don’t have fb
No,I have not joined the facebook group because i don't have a facebook,don’t have fb
No,I was not informed of the community ,didn't know about group
No,I do not currently have a Facebook account.,don’t have fb
No,"I don't have a Facebook account, and have no desire to get one.",don’t have fb
No,I didn’t know about it! I will now that I know,didn't know about group
No,I don't have a facebook.,don’t have fb
,,
,,
,,
Yes,,
,,
No,I rarely use facebook,don’t have fb
No,,
No,,
No,I forgot to click the link and I need to request a new one.,problems
No,I'm afraid that I'm not good enough for the Facebook group,other
No,I do not have facebook.,don’t have fb
No,,
Yes,,
No,I don't use Facebook ,don’t have fb
Yes,,
No,I do not use Facebook.,don’t have fb
No,I don't use facebook. I don't approve of their practices and what they do with their information. if they had an email subscription I would join it. I may join in the future. ,don’t have fb
No,I don't really use Facebook...,don’t have fb
No,I did not know there was one. ,didn't know about group
Yes,,
Yes,,
No,I haven't gotten invited into it yet.,didn't know about group
No,I have not gotten around to do it. ,no interest
Yes,,
,,
,,
No,I do not have a Facebook,don’t have fb
No,I don't have facebook,don’t have fb
No,I don't use my facebook very often,not active on fb
No,I was unable to find the email containing the Facebook group,didn't know about group
No,Don’t have a Facebook account ,don’t have fb
Yes,,
No,I didn't receive an email to join.,didn't know about group
Yes,,
No,"I don't have, or want, a facebook account.",don’t have fb
No,"My Facebook is assigned to a different email account, so I did not receive and invitation ",didn't know about group
,,
Yes,,
No,"I believe the link has expired, so I'm not able to join the Facebook group.",problems
Yes,,
No,,
Yes,,
Yes,,
,,
No,"Whenever I open the email that tells me I was invited to join the Facebook Group, it tells me that the link has expired or that I may not have permission to view the page",problems
Yes,,
No,I am generally not very active on Facebook,not active on fb
No,I do not use Facebook frequently. ,not active on fb
No,I do not have access.,problems
No,Facebook is not something I use often. ,not active on fb
No,I dont use my facebook account as often anymore.,not active on fb
Yes,,
Yes,,
Yes,,
No,I do not use Facebook,don’t have fb
No,I have not been invited to the group.,didn't know about group
No,I did not think it was important to do so.,no interest
Yes,,
No,i dont do facebook,don’t have fb
Yes,,
Yes,,
No,I do not have a Facebook account.,don’t have fb
No,I do not have a facebook account.,don’t have fb
No,"I personally do not have a facebook, so that is why I did not join otherwise I would have. ",don’t have fb
Yes,,
No,"I didn’t have Facebook at the time and now that I do, I barely use it ",don’t have fb
,,
Yes,,
Yes,,
Yes,,
,,
No,Not active on Facebook.,don’t have fb
No,Haven’t gotten around to it,no interest
Yes,,
,,
Yes,,
No,link expired ,problems
Yes,,
No,I do not have a Facebook account. ,don’t have fb
No,Not sure which group it is. ,didn't know about group
Yes,,
No,"it won't let me join, my email is iPod12@live.com. ",problems
Yes,,
No,No invite ,didn't know about group
Yes,,
Yes,,
,,
No,I do not like Facebook. ,don’t have fb
No,I don’t have a Facebook account. ,don’t have fb
Yes,,
No,My Facebook account has a different email ,problems
No,i didn't know it existed ,didn't know about group
No,I was not aware that there was a Facebook group,didn't know about group
Yes,,
Yes,I l,
No,I don’t have Facebook.,don’t have fb
No,I do not have Facebook and I have not received information on how to join easily.,don’t have fb
Yes,,
No,I accidentally didn't look at the link until it had expired.,problems
Yes,,
Yes,,
No,I do not use facebook much,not active on fb
No,The link said there was no group available. Possibly the link.,problems
No,I don't have a Facebook,don’t have fb
No,I don't have a Facebook account,don’t have fb
Yes,,
No,I wasn't aware that it existed. ,didn't know about group
No,I just forgot to.,no interest
Yes,,
No,I do not have a Facebook account.,don’t have fb
No,"To be honest I did not know such account existed, but I will immediently join!",didn't know about group
No,I just haven't gotten around to it at this point. Senior year is really busy,no interest
,,
No,I do not use my Facebook often but I do plan on joining the  group. ,not active on fb
Yes,,
No,I do not have a Facebook account at this time. ,don’t have fb
No,I don’t have Facebook. ,don’t have fb
Yes,,
No,I lost the link but I would like to join!,problems
No,I don't use Facebook often.,not active on fb
No,I didn't know about it  ,didn't know about group
No,I don’t use Facebook much ,not active on fb
Yes,,
Yes,,
No,I don't have a Facebook! Sorry,don’t have fb
Yes,,
No,I don't have a Facebook account yet.,don’t have fb
,,
,,
Yes,,
Yes,,
Yes,,
,,
No,I do not have a Facebook account,don’t have fb
,,
Yes,,
Yes,,
No,I do not have Facebook.,don’t have fb
,,
Yes,,
No,I do not have a facebook,don’t have fb
,,
No,I never received an invitation,didn't know about group
Yes,,
Yes,,
No,I do not have a Facebook account yet,don’t have fb
No,I was not told about one.,didn't know about group
Yes,,
No,I don't have a Facebook.,don’t have fb
Yes,,
No,,
Yes,,
,,
No,There was an issue with my email address that I currently use now and one that I used that is now deleted. It’s a probably with Facebook mainly.,problems
Yes,,
No,Didn't know abt it,didn't know about group
No,No particular reason but i will join.,no interest
No,I don't have a facebook account,don’t have fb
No,"When I had clicked the link, it said it was expired and I couldn't get another link.",problems
Yes,,
No,I do not use Facebook.,don’t have fb
Yes,,
Yes,,
No,I did not know about it.,didn't know about group
No,"I wanted to but I was never invited, and now I’m unsure of to join.",didn't know about group
No,I didn’t know you had one   ,didn't know about group
Yes,,
No,I didn't know about it. I feel like you should send multiple emails reminding girls to join this,didn't know about group
Yes,,
No,I don’t have a facebook. Also because I did not recieve an email.,don’t have fb
No,I was unaware of it. ,didn't know about group
Yes,,
No,i don’t have a facebook maybe get an instagram or twitter ,don’t have fb
Yes,,
No,,
No,Every time I try click the link to join the page. It says “page temporarily unavailable”,problems
No,I don't use Facebook,don’t have fb
Yes,,
No,I haven’t had time and don’t use Facebook much ,not active on fb
Yes,,
No,,
No,,
No,I did not have a Facebook account and just have not had time.  ,don’t have fb
Yes,,
No,I don't have Facebook.,don’t have fb
Yes,,
Yes,,
,,
Yes,,
Yes,,
No,I need to find the email. ,didn't know about group
No,I don't have Facebook.,don’t have fb
No,I do not have a Facebook,don’t have fb
No,,
No,Don't use facebook and my main facebook is under a different email,don’t have fb
No,I do not have a facebook account,don’t have fb
Yes,,
No,I don’t have a Facebook account.,don’t have fb
Yes,,
Yes,,
Yes,,
No,"I have Facebook, but have never logged on.",not active on fb
Yes,,
No,"I don't have a Facebook account, and haven't gotten around to making one yet, but I plan on it!",don’t have fb
No,I don't know how.,didn't know about group
Yes,,
Yes,,
No,I don't have a Facebook account.,don’t have fb
Yes,,
No,"I did not see the email, but I will check again! ",didn't know about group
No,"I do not have a Facebook account, if I did have one I would definitely join the group!",don’t have fb
No,Facebook is not a social media platform I currently use.,don’t have fb
No,Don't have a Facebook account.,don’t have fb
No,I don’t have a Facebook account. ,don’t have fb
Yes,,
Yes,,
No,"I'm simply one the last few human beings left on Earth that do not have a Facebook, but will be making an account soon! :) ",don’t have fb
No,I did not know there was a Facebook Group.,don’t have fb
No,I do not have any social media,don’t have fb
No,I do not use facebook at all,don’t have fb
No,"Unfortunately, my parents are hesitant about letting me use social media. They are also wary of Facebook in particular because of its recent issues with privacy. However, I am in the process of convincing them to let me use the Facebook Group. For future years, it might be useful to send out a separate email to the parents of award recipients and assure them the conditions and privacy of the group. Thanks!",don’t have fb
Yes,,
Yes,,
No,I do not have a Facebook account.,don’t have fb
Yes,,
No,Facebook isn't relevant,don’t have fb
No,"I don’t really use Facebook, and I don’t really see the benefit of joining the group.",don’t have fb
No,I cannot find the email that explains how to join,didn't know about group
Yes,,
No,I have not joined Facebook Group because I do not use Facebook. I barely use social media.,don’t have fb
No,I was unaware that there was a Facebook Group.,didn't know about group
No,I did not recieve this email.,didn't know about group
Yes,,
Yes,,
,,
,,
Yes,,
No,I do not participate in social media. ,don’t have fb
No,I do not have a facebook account,don’t have fb
No,"I just haven't gotten around to it, but I will after this. It's a great way for us to connect.",no interest
No,I didn’t know about it ,didn't know about group
No,I don’t go on Facebook that much so I keep forgetting,not active on fb
Yes,,
No,I just have not taken the time.  I will do so shortly. ,no interest
,,
No,I am not on Facebook. ,don’t have fb
No,I do not actively use Facebook. ,not active on fb
Yes,,
Yes,,
Yes,,
No,I don’t have a Facebook,don’t have fb
No,I just haven't gotten around to it yet.,no interest
No,,
No,I do not have a Facebook account.,don’t have fb
No,"I haven't gotten around to it yet, but I will soon.",no interest
Yes,,
No,I don’t regularly use Facebook.,not active on fb
Yes,,
No,"I do not have a Facebook account and I am not allowed to have one. I still receive emails and updates, I just can't join the Facebook group. ",don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
No,I do not use Facebook on a regular basis.,not active on fb
No,,
Yes,,
No,I did not know about it and I do not use facebook very often.,didn't know about group
No,"I am having trouble joining it with the link emailed to me-- when I click on it, I get an error.",problems
Yes,,
No,I don’t have Facebook on my phone and can’t remember my login and haven’t taken the time to fix it.,don’t have fb
Yes,,
Yes,,
Yes,,
No,I don't have Facebook ,don’t have fb
No,I am not able to find the Facebook group. ,didn't know about group
Yes,,
No,Because I do not have a Facebook account,don’t have fb
No,I had before but didn’t find it useful. ,other
Yes,,
Yes,,
No,i don’t have facebook,don’t have fb
No,I do not have a Facebook account. ,don’t have fb
No,Not on facebook,don’t have fb
Yes,,
Yes,,
Yes,,
No,The reason i did not join because i didnt know how get access the facebook group,didn't know about group
Yes,,
Yes,,
No,,
Yes,,
Yes,,
No,I do not have a Facebook account.,don’t have fb
No,I have no Facebook account ,don’t have fb
Yes,,
No,I had not heard about it until now. ,didn't know about group
No,I did not see an email about it. ,didn't know about group
No,,
Yes,,
No,I do not have Facebook ,don’t have fb
No,I didn't know about the opportunities presented within the group until the ceremony so I didn't join. I'd like to though.,didn't know about group
No,I am not allowed to have any social media accounts. However my parents are going to allow me to create a Facebook to join the Facebook group.,don’t have fb
No,No Facebook account,don’t have fb
No,Because I don't have a Facebook account.,don’t have fb
Yes,,
No,The link in the email I was sent did not work.,didn't know about group
No,I did not know about it,don’t have fb
No,I didn't feel like I had a compelling reason to join the Facebook group.,no interest
No,I have not been sent an invitation to it.,didn't know about group
Yes,,
No,Wasn't aware of the facebook group,didn't know about group
No,I do not have Facebook anymore.,don’t have fb
Yes,,
Yes,,
No,I do not have facebook.,don’t have fb
Yes,,
No,I don’t have a Facebook.,don’t have fb
Yes,,
Yes,,
No,There is an error whenever I try to join. It may be because my facebook account email is different from my email for NCWIT.,problems
Yes,,
No,I do not use social media,don’t have fb
No,"I am not allowed to have a facebook account/even if I did, it is social media and I do not like to be part of said medias.",don’t have fb
No,,
No,I do not have facebook,don’t have fb
No,I forgot to sign up. ,no interest
No,Not interested,no interest
No,I didn’t know about it and I don’t use Facebook.,don’t have fb
No,I do not use Facebook actively ,don’t have fb
No,It is not working when I try to join,problems
Yes,,
No,I don't have a facebook hooked up to the email that I use for the emails for this award and I can't get into the group with my account because it is linked to a different email.,problems
Yes,I was not able to find the email explaining how to join it. ,didn't know about group
No,I did not know about the Facebook program. ,didn't know about group
No,I don't use Facebook.,don’t have fb
,,
No,I don't have a facebook account,don’t have fb
No,I do not use my facebook.,don’t have fb
No,"I do not have Facebook. I truly would like to connect, but my father’s job restricts my family’s use of Facebook, and as such I cannot connect.",don’t have fb
Yes,,
Yes,,
Yes,,
No,I don’t have a Facebook account but as soon as I get one I plan to join,don’t have fb
No,"I just haven't had the time to, but will be joining soon. I think the facebook group will be much easier to join than the linkedin group",no interest
No,I do not have a facebook account.,don’t have fb
No,I do not have a Facebook account.,don’t have fb
Yes,,
No,I do not have Facebook.,don’t have fb
Yes,,
Yes,,
Yes,,
,,
Yes,,
No,I don't have a facebook account.,don’t have fb
Yes,,
Yes,,
No,,
No,I do not have Facebook.  ,don’t have fb
Yes,,
No,I do not have a Facebook account.,don’t have fb
Yes,,
,,
No,I don't have a facebook,don’t have fb
,,
Yes,,
Yes,,
No,I haven’t had the time.,no interest
No,The link to join expired for me.,problems
Yes,,
Yes,,
No,,
No,I don't have a Facebook account. I try to avoid social media.,don’t have fb
,,
No,I do not have a Facebook account.,don’t have fb
No,I do not have a Facebook,don’t have fb
,,
No,,
No,"I was trying to join the Facebook group, but I wasn’t sure what the correct group or name was to join.",didn’t know about group
No,,
Yes,,
Yes,,
No,i am not very active on Facebook. ,don’t have fb
Yes,,
No,I have not received an email from AiC to join the group.  ,didn’t know about group
No,I don’t have a Facebook account,don’t have fb
No,I don't know I forgot I guess,no interest
No,I do not use Facebook.,don’t have fb
Yes,,
No,I did not know there was one.,didn’t know about group
No,I do not have a Facebook yet,don’t have fb
No,I don't have a Facebook.,don’t have fb
Yes,,
No,I do not have a Facebook account and would not be likely to check it if I did- if there was the option for other social media sites I would have joined them.,don’t have fb
No,I did not know/pay attention that you had a Facebook Group.,didn’t know about group
Yes,,
Yes,,
,,
Yes,,
No,,
Yes,,
No,,
Yes,,
Yes,,
No,I didn't know it existed.,didn’t know about group
,,
No,I don't have a Facebook account,don’t have fb
Yes,,
No,,
No,I do not use facebook.,don’t have fb
No,I don’t have Facebook right now. ,don’t have fb
No,"I just got a Facebook account, so I plan to join very soon. ",don’t have fb
Yes,,
No,I have not found the time,no interest
No,I do not have an active Facebook account. ,don’t have fb
No,I don't have a facebook account -- I don't really intend to create social media until I'm in college.,don’t have fb
Yes,,
No,I did not receive an invitation.  ,didn't know about group
No,I don't have a facebook account linked to this email address.,don’t have fb
No,I do not have the link.,didn't know about group
Yes,,
No,,
No,Honestly I forgot to. I'm planning on doing it.,no interest
Yes,,
No,I did not receive the email,didn't know about group
Yes,,
Yes,,
No,I do not have a facebook page,don’t have fb
,,
No,I don't really use my facebook ,don’t have fb
No,I don't have Facebook. I don't plan to have one in the future.  ,don’t have fb
Yes,,
Yes,,
No,i wasn't aware of the facebook page,didn't know about group
No,Link was broken  ,problems
Yes,,
No,"I don't have a Facebook account, and I hate Facebook, so I'm not going to make an account just to join the group. ",don’t have fb
Yes,,
No,I didn't get an email about it,didn't know about group
,,
No,I currently do not have an active Facebook account.,don’t have fb
Yes,,
Yes,,
No,"I wasnt aware of the facebook group page but i am now, i will as soon as possible. ",didn’t know about group
No,I don't really use my Facebook account. I only made it for school purposes and haven't been on the account since. ,don’t have fb
No,I do not frequently use Facebook.,don’t have fb
No,Don’t use or have a Facebook account ,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
No,"The link that has been sent to me does not work or is broken. When I try to look up the group, I cannot find it, so I'm assuming it's private.",problems
,,
No,I did what I was asked and I never got the invite.,didn't know about group
Yes,,
,,
Yes,,
No,I do not have a Facebook account. ,don’t have fb
Yes,,
No,I don't have Facebook and don't want one,don’t have fb
No,I received an email asking me to join but once I was at Facebook it would not let me. ,problems
Yes,,
No,"I was not added to the Facebook group automatically, so I emailed aiccommunity@ncwit.org to be added on. I never received a received a response. I ended up forgetting about it, but I have emailed them again.",problems
Yes,,
Yes,,
No,I got an invite for the wrong email address.,problems
Yes,,
,,
Yes,,
No,I have only recently made a Facebook account and did not remember to join the Facebook group.,don’t have fb
Yes,,
No,I did not know that existed.,didn't know about group
No,I do not have a Facebook account.,don’t have fb
No,I do not have a Facebook account.,don’t have fb
Yes,,
Yes,,
No,I don’t have a Facebook account.   ,don’t have fb
No,,
No,I haven’t joined the Facebook group because I don’t have a Facebook account.,don’t have fb
No,I do not have a facebook. ,don’t have fb
No,I don’t have facebook,don’t have fb
No,I don't have a Facebook.,don’t have fb
,,
No,Must not have seen the email,didn’t know about group
No,I don’t have Facebook   ,don’t have fb
No,I don’t have Facebook ,don’t have fb
Yes,,
Yes,,
,,
No,"I have not yet received an invite to join the secret Facebook group. I would love to join it, though, and I will send an email request so that I can join it.",didn't know about group
Yes,,
No,I'm not active on Facebook.,don’t have fb
Yes,,
No,I don't have facebook,don’t have fb
Yes,,
Yes,,
Yes,,
No,I did not realize there was a Facebook group.,didn't know about group
No,I don't have a Facebook account,don’t have fb
Yes,,
No,I can never get the link to work. ,problems
Yes,,
No,Don't have a Facebook account,don’t have fb
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
Yes,,
No,I don’t have a Facebook,don’t have fb
No,i don’t have facebook ,don’t have fb
