Respondent ID,"In order to improve our program, please tell us why you have not joined the Facebook Group.",CODE
6902968618,,
6902964466,I don't have a facebook account,nf
6902754573,I don’t have a Facebook account. ,nf
6902728016,"I do not have a Facebook account, and am not sure I want one.",nf
6902546610,,
6902517561,I do not have a Facebook account.,nf
6902506777,"I have not recieved the invitation, and I am not very Facebook active.",na
6902444153,,
6902419184,I did not know there was a facebook page.,dk
6902407277,,
6902303239,,
6902270497,I did not know about it ,dk
6902195807,,
6902126730,I didn't know there was one and I didn't get invited to one.,dk
6902086690,I have not had time to yet. I have been busy with school and finals.,fp
6902066379,I don't use facebook ,nf
6902031990,I was not aware of the Facebook group,dk
6901995273,,
6901935225,,
6901858488,,
6901857854,I do not have a Facebook account.,nf
6901829695,I have not received an invitation. ,dk
6901785635,,
6901752814,I don't have facebook,nf
6901660794,I don't have Facebook.,nf
6901569925,,
6901566134,"I never received an invite to join the group and I was not sure who to contact about this. (But I know now, due to the information below).",dk
6901565025,I have yet to create a Facebook for this purpose,nf
6901563988,It has not been on my mind.,ni
6901556354,Didn't receive invite. ,dk
6901528067,,
6901522186,,
6901517822,I actually forgot! I will join as soon as I get off this survey though :),fp
6901515578,I do not have Facebook.,nf
6901507704,,
6901466667,I simply haven't taken the time to do so.,ni
6901461821,I didn't get the email. I'll reach out to the provided email now!,dk
6901461206,"I didn't know there was one. Along with this, I don't use Facebook very much. ",dk
6901447171,I do not have a Facebook.,nf
6901442604,,
6901441954,I don’t like Facebook ,nf
6901437322,,
6901415143,I do not have a Facebook account.,nf
6901402357,,
6901330977,,
6901292493,,
6901285716,,
6901276446,,
6901274138,,
6901274108,,
6901273339,,
6901273166,,
6901270788,,
6901269879,I forgot to join the group and when I opened the email the invite expired.,p
6901269003,My personal email for Facebook invitations is:    sophieyang111@gmail.com,dk
6901266992,,
6901264217,"I don’t use Facebook and I don’t plan on starting anytime soon. If it were literally any other social media platform, I would’ve joined. ",nf
6901260772,,
6901258147,,
6901257716,,
6901256729,I don’t have Facebook ,nf
6901253927,I was not given the email. ,dk
6901252604,I don’t have Facebook,nf
6901252072,I'm not active on Facebook,na
6901248287,I don't have a Facebook account.,nf
6901247767,,
6901246082,I did not see the email! ,dk
6901245646,,
6901242851,I do not have a facebook account.,nf
6901242435,,
6901231909,I was not aware there was a Facebook group ,dk
6901230091,,
6901229746,I don't have a Facebook,nf
6901226728,,
6901224678,I don’t have a Facebook account.,nf
6901224399,,
6901222668,I did not know of this Facebook group  ,dk
6901222524,,
6901220373,I have not been invited yet. ,dk
6901220358,,
6901214122,I do not use Facebook.,nf
6901211635,I don’t have a Facebook account yet,nf
6901211433,,
6901211324,I don’t like to engage in social media. ,nf
6901207354,,
6901207158,,
6901204253,I wasn’t allowed to join through my family page. I do not have one of my own. ,nf
6901199384,,
6901196964,,
6901195133,I don’t have Facebook ,nf
6901191246,,
6901189100,I do not have any social media,nf
6901188651,I have not had the time. ,fp
6901180565,,
6901174262,I did not get a notification or email to be invited.,dk
6901174026,I don't have a facebook account.,nf
6901173428,I don't have a facebook and won't create one because i don't believe in supporting that company.,nf
6901168428,Do not own a Facebook account.,nf
6901168362,I don't use Facebook.,nf
6901166608,,
6901164984,Didn't know there was one,dk
6901162817,I do not own a Facebook account. ,nf
6901161378,I couldn't due to unavailability ,p
6901160493,,
6901154223,I don’t use Facebook that much,na
6901150575,,
6901150065,,
6901148185,,
6901147193,I don't use Facebook,nf
6901147155,,
6901144353,I don't have facebook,nf
6901142881,I don't have a Facebook account. ,nf
6901141220,Because I don’t have Facebook ,nf
6901140213,,
6901140070,,
6901138353,,
6901138066,,
6901137800,I haven’t gotten around to it,fp
6901137354,I don’t have a Facebook. I don’t use any social media,nf
6901136688,,
6901136301,"I don’t have a Facebook account. However, I do have a Snapchat and Instagram account.",nf
6901135955,,
6901135869,I did not receive an email explaining how to join the group.,dk
6901135672,I’m not on Facebook ,nf
6901135195,,
6901134796,,
6901133494,I do not use Facebook,nf
6901133290,,
6901131905,Didn’t know about it,dk
6901131455,I was not invited to the Facebook group/never received an email to join.,dk
6901128445,,
6901126776,,
6901125509,,
6901124796,,
6901122827,I do not have Facebook. ,nf
6901122484,,
6901122229,Don't have Facebook ,nf
6901121198,,
6901120149,I rarely use Facebook and am inactive.,na
6901119691,,
6901118816,Didn’t know about it,dk
6901118667,I haven’t received the email. ,dk
6901118497,,
6901118406,,
6901118267,I did not receive an email explaining how to join the group.,dk
6901118029,"I would, except I don't have a Facebook account.",nf
6901117991,,
6901117838,Did not know of existence. ,dk
6901117556,I forgot that there was one.,fp
6901117477,I don't use Facebook ,nf
6901117473,I do not have a facebook account and I am not allowed to create one.,nf
6901117336,,
6901117195,I don’t use Facebook.,nf
6901117114,My invitation ran out when I tried to join. ,p
6901117097,,
6901116924,I just haven't,fp
6900941721,The link did not work when it was sent to me.,p
6900729339,I don't have a facebook account.,nf
6900718560,,
6900686893,I was not aware that there was a facebook group. ,dk
6900220728,,
6900076847,,
6900033992,"One way I would improve the program is by expanding technology into more diverse interests. I enjoy art, so from rigging and animation coding to digital art programs. Just taking those in for consideration as well.",
6900033939,,
6900008178,The link sent to me did not work. It only lead me to a page that said I did not have access to.,p
6899996645,I do not have a Facebook.,nf
6899970430,I do not have Facebook ,nf
6899959474,,
6899910318,,
6899870232,,
6899830521,,
6899820089,,
6899807803,I do not have a facebook account. ,nf
6899803321,,
6899789880,I was unaware there was a facebook group.,dk
6899785425,Was not aware of opportunity,dk
6899784802,I do not have a facebook account.,nf
6899776810,I am not happy with the organization aspect of NCWIT. ,ni
6899771373,i do not have facebook,nf
6899767573,I did not receive any information regarding how to join the Facebook Group.,dk
6899764670,do not use,nf
6899756428,I do not have Facebook ,nf
6899753229,,
6899744705,I am not on Facebook,nf
6899744146,,
6899734367,,
6899733441,I believe there is nothing that could improve this program. I think the program is perfect the way it is.,
6899731308,,
6899730673,,
6899730491,,
6899729544,,
6899726723,,
6899726493,My email is different from the one I used to apply,p
6899726045,,
6899724758,I cannot find the email that gave the instructions on how to join.,dk
6899724709,I was not told how to join the facebook group and facebook its outdated.,p
6899724705,Currently I do not have a Facebook account. ,nf
6899724599,don't have facebook  ,nf
6899724361,"I greatly want to, but I need to create a Facebook profile first. Once I do, I will be sure to join. ",nf
6899234333,I have not joined the facebook group because i don't have a facebook,nf
6898634874,I was not informed of the community ,dk
6897851214,I do not currently have a Facebook account.,nf
6896325412,"I don't have a Facebook account, and have no desire to get one.",nf
6895685610,I didn’t know about it! I will now that I know,dk
6895587480,I don't have a facebook.,nf
6895179166,,
6894668653,,
6893775859,,
6893709373,,
6893186675,,
6893110350,I rarely use facebook,na
6893002496,,
6892927162,,
6892622578,I forgot to click the link and I need to request a new one.,p
6892574961,I'm afraid that I'm not good enough for the Facebook group,p
6892431491,I do not have facebook.,nf
6891901627,,
6891862815,,
6891708153,I don't use Facebook ,nf
6891577186,,
6891575927,I do not use Facebook.,nf
6891571412,I don't use facebook. I don't approve of their practices and what they do with their information. if they had an email subscription I would join it. I may join in the future. ,nf
6891569064,I don't really use Facebook...,nf
6891567289,I did not know there was one. ,dk
6891559548,,
6891459859,,
6891383143,I haven't gotten invited into it yet.,dk
6891336289,I have not gotten around to do it. ,fp
6891293088,,
6891241642,,
6891194213,,
6891053999,I do not have a Facebook,nf
6890993967,I don't have facebook,nf
6890977722,I don't use my facebook very often,na
6890977633,I was unable to find the email containing the Facebook group,dk
6890969422,Don’t have a Facebook account ,nf
6890956331,,
6890952669,I didn't receive an email to join.,dk
6890919586,,
6890915935,"I don't have, or want, a facebook account.",nf
6890893309,"My Facebook is assigned to a different email account, so I did not receive and invitation ",p
6890875371,,
6890779221,,
6890777943,"I believe the link has expired, so I'm not able to join the Facebook group.",p
6890776082,,
6890764550,,
6890760956,,
6890750574,,
6890736258,,
6890730204,"Whenever I open the email that tells me I was invited to join the Facebook Group, it tells me that the link has expired or that I may not have permission to view the page",p
6890727027,,
6890699715,I am generally not very active on Facebook,na
6890692433,I do not use Facebook frequently. ,na
6890690521,I do not have access.,p
6890682691,Facebook is not something I use often. ,na
6890668809,I dont use my facebook account as often anymore.,na
6890660189,,
6890659233,,
6890650029,,
6890644006,I do not use Facebook,nf
6890640722,I have not been invited to the group.,dk
6890639614,I did not think it was important to do so.,ni
6890614358,,
6890613584,i dont do facebook,nf
6890610730,,
6890604699,,
6890603377,I do not have a Facebook account.,nf
6890596547,I do not have a facebook account.,nf
6890594539,"I personally do not have a facebook, so that is why I did not join otherwise I would have. ",nf
6890592055,,
6890581885,"I didn’t have Facebook at the time and now that I do, I barely use it ",nf
6890577898,,
6890576714,,
6890572823,,
6890568936,,
6890565856,,
6890561112,Not active on Facebook.,na
6890560448,Haven’t gotten around to it,fp
6890559806,,
6890556525,,
6890546380,,
6890544072,link expired ,p
6890540799,,
6890540631,I do not have a Facebook account. ,nf
6890537130,Not sure which group it is. ,dk
6890536649,,
6890535713,"it won't let me join, my email is iPod12@live.com. ",p
6890530284,,
6890528706,No invite ,dk
6890528411,,
6890527693,,
6890527159,,
6890527077,I do not like Facebook. ,nf
6890526762,I don’t have a Facebook account. ,nf
6890526460,,
6890526109,My Facebook account has a different email ,p
6890523980,i didn't know it existed ,dk
6890523649,I was not aware that there was a Facebook group,dk
6890470652,,
6888571408,I l,
6888191058,I don’t have Facebook.,nf
6887158299,I do not have Facebook and I have not received information on how to join easily.,nf
6886316524,,
6884945557,I accidentally didn't look at the link until it had expired.,p
6883571299,,
6882766801,,
6882575320,I do not use facebook much,nf
6882204608,The link said there was no group available. Possibly the link.,p
6881727386,I don't have a Facebook,nf
6881260179,I don't have a Facebook account,nf
6881166147,,
6880868665,I wasn't aware that it existed. ,dk
6880670761,I just forgot to.,fp
6880602612,,
6880311785,I do not have a Facebook account.,nf
6880265534,"To be honest I did not know such account existed, but I will immediently join!",dk
6880203498,I just haven't gotten around to it at this point. Senior year is really busy,fp
6880149794,,
6880073744,I do not use my Facebook often but I do plan on joining the  group. ,nf
6879780228,,
6879719003,I do not have a Facebook account at this time. ,nf
6879364891,I don’t have Facebook. ,nf
6878806573,,
6878664557,I lost the link but I would like to join!,p
6878597298,I don't use Facebook often.,na
6878126412,I didn't know about it  ,dk
6877956510,I don’t use Facebook much ,nf
6877924389,,
6877448561,,
6877374482,I don't have a Facebook! Sorry,nf
6877341377,,
6877127025,I don't have a Facebook account yet.,nf
6877018856,,
6876879546,,
6876872519,,
6876789806,,
6876711110,,
6876703734,,
6876690804,I do not have a Facebook account,nf
6876652331,,
6876165137,,
6876108414,,
6876092235,I do not have Facebook.,nf
6876087290,,
6876079640,,
6876010797,I do not have a facebook,nf
6876008855,,
6875980100,I never received an invitation,dk
6875971297,,
6875957893,,
6875925605,I do not have a Facebook account yet,nf
6875924679,I was not told about one.,dk
6875915957,,
6875877389,I don't have a Facebook.,nf
6875861919,,
6875735625,,
6875734147,,
6875713528,,
6875708016,There was an issue with my email address that I currently use now and one that I used that is now deleted. It’s a probably with Facebook mainly.,p
6875694193,,
6875678669,Didn't know abt it,dk
6875647848,No particular reason but i will join.,fp
6875634495,I don't have a facebook account,nf
6875632293,"When I had clicked the link, it said it was expired and I couldn't get another link.",p
6875626457,,
6875625755,I do not use Facebook.,nf
6875625657,,
6875618776,,
6875533998,I did not know about it.,dk
6875524983,"I wanted to but I was never invited, and now I’m unsure of to join.",p
6875504400,I didn’t know you had one   ,dk
6875493872,,
6875488604,I didn't know about it. I feel like you should send multiple emails reminding girls to join this,dk
6875488175,,
6875481194,I don’t have a facebook. Also because I did not recieve an email.,nf
6875472888,I was unaware of it. ,dk
6875455644,,
6875444240,i don’t have a facebook maybe get an instagram or twitter ,nf
6875429645,,
6875426311,,
6875354779,Every time I try click the link to join the page. It says “page temporarily unavailable”,p
6875353923,I don't use Facebook,nf
6875311049,,
6875305515,I haven’t had time and don’t use Facebook much ,na
6875295413,,
6875287099,,
6875284771,,
6875279122,I did not have a Facebook account and just have not had time.  ,nf
6875278811,,
6875271882,I don't have Facebook.,nf
6875268758,,
6875255268,,
6875254152,,
6875240118,,
6875239083,,
6875234258,I need to find the email. ,dk
6875231422,I don't have Facebook.,nf
6875220505,I do not have a Facebook,nf
6875219057,,
6875213522,Don't use facebook and my main facebook is under a different email,nf
6875209971,I do not have a facebook account,nf
6875209658,,
6875209139,I don’t have a Facebook account.,nf
6875207065,,
6875204087,,
6875202895,,
6875200018,"I have Facebook, but have never logged on.",nf
6875189916,,
6875189893,"I don't have a Facebook account, and haven't gotten around to making one yet, but I plan on it!",nf
6875182719,I don't know how.,dk
6875180584,,
6875179593,,
6875177492,I don't have a Facebook account.,nf
6875177108,,
6875176601,"I did not see the email, but I will check again! ",dk
6875175108,"I do not have a Facebook account, if I did have one I would definitely join the group!",nf
6875174826,Facebook is not a social media platform I currently use.,nf
6875173656,Don't have a Facebook account.,nf
6875172963,I don’t have a Facebook account. ,nf
6875171785,,
6875166791,,
6875165830,"I'm simply one the last few human beings left on Earth that do not have a Facebook, but will be making an account soon! :) ",nf
6875160001,I did not know there was a Facebook Group.,dk
6875155595,I do not have any social media,nf
6875153284,I do not use facebook at all,nf
6875152167,"Unfortunately, my parents are hesitant about letting me use social media. They are also wary of Facebook in particular because of its recent issues with privacy. However, I am in the process of convincing them to let me use the Facebook Group. For future years, it might be useful to send out a separate email to the parents of award recipients and assure them the conditions and privacy of the group. Thanks!",nf
6875151027,,
6875146415,,
6875146403,I do not have a Facebook account.,nf
6875143475,,
6875143304,Facebook isn't relevant,nf
6875140503,"I don’t really use Facebook, and I don’t really see the benefit of joining the group.",nf
6875134180,I cannot find the email that explains how to join,p
6875130624,,
6875118683,I have not joined Facebook Group because I do not use Facebook. I barely use social media.,nf
6875118422,I was unaware that there was a Facebook Group.,dk
6875106514,I did not recieve this email.,dk
6875106313,,
6875101438,,
6875097856,,
6875097154,,
6875087974,,
6875084818,I do not participate in social media. ,nf
6875071830,I do not have a facebook account,nf
6875062016,"I just haven't gotten around to it, but I will after this. It's a great way for us to connect.",fp
6875057495,I didn’t know about it ,dk
6875056653,I don’t go on Facebook that much so I keep forgetting,nf
6875055131,,
6875054044,I just have not taken the time.  I will do so shortly. ,fp
6875050847,,
6875047893,I am not on Facebook. ,nf
6875047560,I do not actively use Facebook. ,nf
6875044493,,
6875043805,,
6875034982,,
6875030651,I don’t have a Facebook,nf
6875029030,I just haven't gotten around to it yet.,fp
6875025092,,
6875022246,I do not have a Facebook account.,nf
6875019996,"I haven't gotten around to it yet, but I will soon.",fp
6875007775,,
6875003103,I don’t regularly use Facebook.,na
6875001020,,
6874998654,"I do not have a Facebook account and I am not allowed to have one. I still receive emails and updates, I just can't join the Facebook group. ",nf
6874998646,,
6874996743,,
6874994108,,
6874992891,,
6874990651,I do not use Facebook on a regular basis.,na
6874989110,,
6874981094,,
6874981008,I did not know about it and I do not use facebook very often.,dk
6874980435,"I am having trouble joining it with the link emailed to me-- when I click on it, I get an error.",p
6874980204,,
6874980040,I don’t have Facebook on my phone and can’t remember my login and haven’t taken the time to fix it.,nf
6874974391,,
6874974220,,
6874972661,,
6874971744,I don't have Facebook ,nf
6874970284,I am not able to find the Facebook group. ,dk
6874969595,,
6874968933,Because I do not have a Facebook account,nf
6874965249,I had before but didn’t find it useful. ,ni
6874964968,,
6874964841,,
6874963488,i don’t have facebook,nf
6874962807,I do not have a Facebook account. ,nf
6874962382,Not on facebook,nf
6874959606,,
6874958196,,
6874958167,,
6874957389,The reason i did not join because i didnt know how get access the facebook group,dk
6874956472,,
6874955864,,
6874955656,,
6874953471,,
6874952635,,
6874950000,I do not have a Facebook account.,nf
6874949923,I have no Facebook account ,nf
6874949743,,
6874949678,I had not heard about it until now. ,dk
6874949634,I did not see an email about it. ,dk
6874948955,,
6874947692,,
6874946799,I do not have Facebook ,nf
6874946234,I didn't know about the opportunities presented within the group until the ceremony so I didn't join. I'd like to though.,dk
6874940599,I am not allowed to have any social media accounts. However my parents are going to allow me to create a Facebook to join the Facebook group.,nf
6874937414,No Facebook account,nf
6874937395,Because I don't have a Facebook account.,nf
6874937368,,
6874936140,The link in the email I was sent did not work.,p
6874934640,I did not know about it,dk
6874933322,I didn't feel like I had a compelling reason to join the Facebook group.,ni
6874931337,I have not been sent an invitation to it.,dk
6874930355,,
6874928762,Wasn't aware of the facebook group,dk
6874927306,I do not have Facebook anymore.,nf
6874926485,,
6874925816,,
6874924657,I do not have facebook.,nf
6874924550,,
6874924506,I don’t have a Facebook.,nf
6874924476,,
6874924344,,
6874924128,There is an error whenever I try to join. It may be because my facebook account email is different from my email for NCWIT.,p
6874923385,,
6874923096,I do not use social media,nf
6874923057,"I am not allowed to have a facebook account/even if I did, it is social media and I do not like to be part of said medias.",nf
6874922893,,
6874922723,I do not have facebook,nf
6874922255,I forgot to sign up. ,fp
6874921882,Not interested,ni
6874921799,I didn’t know about it and I don’t use Facebook.,nf
6874903449,I do not use Facebook actively ,na
6873832773,It is not working when I try to join,p
6873052983,,
6873014305,I don't have a facebook hooked up to the email that I use for the emails for this award and I can't get into the group with my account because it is linked to a different email.,p
6872542531,I was not able to find the email explaining how to join it. ,dk
6872400513,I did not know about the Facebook program. ,dk
6871845503,I don't use Facebook.,nf
6871663723,,
6871567241,I don't have a facebook account,nf
6871550756,I do not use my facebook.,nf
6871344123,"I do not have Facebook. I truly would like to connect, but my father’s job restricts my family’s use of Facebook, and as such I cannot connect.",nf
6871322073,,
6871090399,,
6870919388,,
6870794619,I don’t have a Facebook account but as soon as I get one I plan to join,nf
6870353230,"I just haven't had the time to, but will be joining soon. I think the facebook group will be much easier to join than the linkedin group",fp
6870348409,I do not have a facebook account.,nf
6870285308,I do not have a Facebook account.,nf
6870269425,,
6870260319,I do not have Facebook.,nf
6870251588,,
6870221099,,
6870202723,,
6870155550,,
6870108240,,
6870003282,I don't have a facebook account.,nf
6869963264,,
6869921502,,
6869856631,,
6869756496,I do not have Facebook.  ,nf
6869735737,,
6869718149,I do not have a Facebook account.,nf
6869707903,,
6869641207,,
6869640755,I don't have a facebook,nf
6869624176,,
6869619045,,
6869538705,,
6869488590,I haven’t had the time.,fp
6869406392,The link to join expired for me.,p
6869384043,,
6869069495,,
6869040227,,
6868983361,I don't have a Facebook account. I try to avoid social media.,nf
6868908420,,
6868907868,I do not have a Facebook account.,nf
6868861161,I do not have a Facebook,nf
6868856161,,
6868855396,,
6868851003,"I was trying to join the Facebook group, but I wasn’t sure what the correct group or name was to join.",p
6868845818,,
6868828250,,
6868757870,,
6868716909,i am not very active on Facebook. ,na
6868708848,,
6868675743,I have not received an email from AiC to join the group.  ,dk
6868665974,I don’t have a Facebook account,nf
6868647479,I don't know I forgot I guess,fp
6868614473,I do not use Facebook.,nf
6868549019,,
6868493630,I did not know there was one.,dk
6868454007,I do not have a Facebook yet,nf
6868446541,I don't have a Facebook.,nf
6868418446,,
6868403165,I do not have a Facebook account and would not be likely to check it if I did- if there was the option for other social media sites I would have joined them.,nf
6868401069,I did not know/pay attention that you had a Facebook Group.,dk
6868398198,,
6868381598,,
6868368955,,
6868363482,,
6868325246,,
6868278081,,
6868248446,,
6868173818,,
6868159810,,
6868147711,I didn't know it existed.,dk
6868086192,,
6867898933,I don't have a Facebook account,nf
6867898847,,
6867894884,,
6867875831,I do not use facebook.,nf
6867859137,I don’t have Facebook right now. ,nf
6867856158,"I just got a Facebook account, so I plan to join very soon. ",nf
6867855514,,
6867848502,I have not found the time,fp
6867807281,I do not have an active Facebook account. ,nf
6867792542,I don't have a facebook account -- I don't really intend to create social media until I'm in college.,nf
6867784017,,
6867693386,I did not receive an invitation.  ,dk
6867686507,I don't have a facebook account linked to this email address.,nf
6867677163,I do not have the link.,dk
6867605680,,
6867596827,,
6867520975,Honestly I forgot to. I'm planning on doing it.,fp
6867519670,,
6867510179,I did not receive the email,dk
6867506891,,
6867475332,,
6867441671,I do not have a facebook page,nf
6867437890,,
6867429239,I don't really use my facebook ,nf
6867429163,I don't have Facebook. I don't plan to have one in the future.  ,nf
6867426369,,
6867407600,,
6867401162,i wasn't aware of the facebook page,dk
6867379038,Link was broken  ,p
6867358024,,
6867327214,"I don't have a Facebook account, and I hate Facebook, so I'm not going to make an account just to join the group. ",nf
6867321774,,
6867317264,I didn't get an email about it,dk
6867312917,,
6867293484,I currently do not have an active Facebook account.,nf
6867278585,,
6867261533,,
6867259242,"I wasnt aware of the facebook group page but i am now, i will as soon as possible. ",dk
6867255715,I don't really use my Facebook account. I only made it for school purposes and haven't been on the account since. ,na
6867250757,I do not frequently use Facebook.,na
6867242465,Don’t use or have a Facebook account ,nf
6867230003,,
6867218210,,
6867187455,,
6867171822,,
6867171075,"The link that has been sent to me does not work or is broken. When I try to look up the group, I cannot find it, so I'm assuming it's private.",p
6867167466,,
6867166489,I did what I was asked and I never got the invite.,p
6867158431,,
6867137991,,
6867137770,,
6867124145,I do not have a Facebook account. ,nf
6867114404,,
6867093418,I don't have Facebook and don't want one,nf
6867076246,I received an email asking me to join but once I was at Facebook it would not let me. ,p
6867059847,,
6867056586,"I was not added to the Facebook group automatically, so I emailed aiccommunity@ncwit.org to be added on. I never received a received a response. I ended up forgetting about it, but I have emailed them again.",p
6867042905,,
6867026710,,
6867024210,I got an invite for the wrong email address.,p
6867020848,,
6867019316,,
6867008816,,
6866988865,I have only recently made a Facebook account and did not remember to join the Facebook group.,nf
6866972813,,
6866953532,I did not know that existed.,dk
6866943489,I do not have a Facebook account.,nf
